Fri Mar 07 2014 09:47:47 GMT-0800 (Pacific Standard Time)  Creating conversation 20140307174747172-adam1-adam2-0.4.3
Fri Mar 07 2014 09:47:49 GMT-0800 (Pacific Standard Time)  Updating convid 20140307174747172-adam1-adam2-0.4.3 to length 1
Fri Mar 07 2014 09:47:51 GMT-0800 (Pacific Standard Time)  Updating convid 20140307174747172-adam1-adam2-0.4.3 to length 2
Fri Mar 07 2014 09:47:52 GMT-0800 (Pacific Standard Time)  Updating convid 20140307174747172-adam1-adam2-0.4.3 to length 3
Fri Mar 07 2014 09:48:00 GMT-0800 (Pacific Standard Time)  Updating convid 20140307174747172-adam1-adam2-0.4.3 to length 4
Fri Mar 07 2014 09:48:54 GMT-0800 (Pacific Standard Time)  Updating convid 20140307174747172-adam1-adam2-0.4.3 to length 5
Fri Mar 07 2014 09:53:31 GMT-0800 (Pacific Standard Time)  Signing out adam2
Fri Mar 07 2014 09:53:31 GMT-0800 (Pacific Standard Time)  Updating convid 20140307174747172-adam1-adam2-0.4.3 to length 5
Fri Mar 07 2014 09:53:31 GMT-0800 (Pacific Standard Time)  adam2 disconnected
Fri Mar 07 2014 09:53:31 GMT-0800 (Pacific Standard Time)  adam1 disconnected
Fri Mar 07 2014 09:57:14 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 09:57:18 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 09:57:18 GMT-0800 (Pacific Standard Time)  waiting adam1
Fri Mar 07 2014 09:57:19 GMT-0800 (Pacific Standard Time)  hello adam2
Fri Mar 07 2014 09:57:19 GMT-0800 (Pacific Standard Time)  Creating conversation 20140307175719943-adam1-adam2-0.4.3
Fri Mar 07 2014 10:03:56 GMT-0800 (Pacific Standard Time)  adam1 disconnected
Fri Mar 07 2014 10:03:58 GMT-0800 (Pacific Standard Time)  waiting adam1
Fri Mar 07 2014 10:03:58 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 10:04:01 GMT-0800 (Pacific Standard Time)  Signing out adam2
Fri Mar 07 2014 10:04:01 GMT-0800 (Pacific Standard Time)  Updating convid 20140307175719943-adam1-adam2-0.4.3 to length 0
Fri Mar 07 2014 10:04:01 GMT-0800 (Pacific Standard Time)  adam2 disconnected
Fri Mar 07 2014 10:04:01 GMT-0800 (Pacific Standard Time)  adam1 disconnected
Fri Mar 07 2014 10:05:41 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 10:05:48 GMT-0800 (Pacific Standard Time)  adum restarting his server.
Fri Mar 07 2014 10:05:52 GMT-0800 (Pacific Standard Time)  hello adam2
Fri Mar 07 2014 10:05:52 GMT-0800 (Pacific Standard Time)  waiting adam2
Fri Mar 07 2014 10:05:55 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 10:05:55 GMT-0800 (Pacific Standard Time)  Creating conversation 20140307180555893-adam2-adam1-0.4.3
Fri Mar 07 2014 10:06:00 GMT-0800 (Pacific Standard Time)  Updating convid 20140307180555893-adam2-adam1-0.4.3 to length 1
Fri Mar 07 2014 10:07:13 GMT-0800 (Pacific Standard Time)  adam1 disconnected
Fri Mar 07 2014 10:07:14 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 10:07:14 GMT-0800 (Pacific Standard Time)  waiting adam1
Fri Mar 07 2014 10:07:15 GMT-0800 (Pacific Standard Time)  adam2 disconnected
Fri Mar 07 2014 10:07:16 GMT-0800 (Pacific Standard Time)  hello adam2
Fri Mar 07 2014 10:07:16 GMT-0800 (Pacific Standard Time)  Creating conversation 20140307180716585-adam1-adam2-0.4.3
Fri Mar 07 2014 10:07:44 GMT-0800 (Pacific Standard Time)  adam2 disconnected
Fri Mar 07 2014 10:07:45 GMT-0800 (Pacific Standard Time)  hello adam2
Fri Mar 07 2014 10:07:45 GMT-0800 (Pacific Standard Time)  waiting adam2
Fri Mar 07 2014 10:07:46 GMT-0800 (Pacific Standard Time)  adam1 disconnected
Fri Mar 07 2014 10:07:47 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 10:07:47 GMT-0800 (Pacific Standard Time)  Creating conversation 20140307180747878-adam2-adam1-0.4.3
Fri Mar 07 2014 10:08:22 GMT-0800 (Pacific Standard Time)  Updating convid 20140307180747878-adam2-adam1-0.4.3 to length 1
Fri Mar 07 2014 10:08:54 GMT-0800 (Pacific Standard Time)  adam1 disconnected
Fri Mar 07 2014 10:08:55 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 10:08:55 GMT-0800 (Pacific Standard Time)  waiting adam1
Fri Mar 07 2014 10:08:56 GMT-0800 (Pacific Standard Time)  adam2 disconnected
Fri Mar 07 2014 10:08:57 GMT-0800 (Pacific Standard Time)  hello adam2
Fri Mar 07 2014 10:08:57 GMT-0800 (Pacific Standard Time)  Creating conversation 20140307180857417-adam1-adam2-0.4.3
Fri Mar 07 2014 10:09:11 GMT-0800 (Pacific Standard Time)  adam2 disconnected
Fri Mar 07 2014 10:09:12 GMT-0800 (Pacific Standard Time)  hello adam2
Fri Mar 07 2014 10:09:12 GMT-0800 (Pacific Standard Time)  waiting adam2
Fri Mar 07 2014 10:09:13 GMT-0800 (Pacific Standard Time)  adam1 disconnected
Fri Mar 07 2014 10:09:15 GMT-0800 (Pacific Standard Time)  Creating conversation 20140307180915084-adam2-adam1-0.4.3
Fri Mar 07 2014 10:09:15 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 10:09:24 GMT-0800 (Pacific Standard Time)  adam1 disconnected
Fri Mar 07 2014 10:09:25 GMT-0800 (Pacific Standard Time)  hello adam1
Fri Mar 07 2014 10:09:25 GMT-0800 (Pacific Standard Time)  waiting adam1
Fri Mar 07 2014 10:09:25 GMT-0800 (Pacific Standard Time)  adam2 disconnected
Fri Mar 07 2014 10:09:26 GMT-0800 (Pacific Standard Time)  hello adam2
